USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON,INSTALL_DATE,COUNTRY_CODE
d90f8f1160d5e7bf868003b2509de08e7c48a39a,24/07/22 00:00,14,9,1,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,02/03/22 00:00,3,3,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,05/07/22 00:00,10,9,2,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,29/07/22 00:00,4,4,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,23/01/22 00:00,4,3,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,13/02/22 00:00,3,3,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,11/07/22 00:00,2,1,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,06/07/22 00:00,10,10,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,12/08/22 00:00,0,0,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,26/02/22 00:00,7,7,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,08/07/22 00:00,6,6,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,17/03/22 00:00,6,5,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,26/07/22 00:00,10,9,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,06/04/22 00:00,2,2,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,14/07/22 00:00,9,9,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,22/07/22 00:00,11,8,1,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,08/01/22 00:00,2,2,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,20/07/22 00:00,9,9,0,04/01/22 23:06,US
